nodes,tasks_per_node,transfer_size,file_path,file_size_mb,operations_per_upload,total_operations,has_upload_stats,has_download_stats,has_old_format,upload_successful_trials,upload_total_trials,upload_mean_bandwidth,upload_std_bandwidth,upload_aggregate_throughput,download_successful_trials,download_total_trials,download_mean_bandwidth,download_std_bandwidth,download_aggregate_throughput
1,1,50M,./results_1nodes/benchmark_1nodes_1tasks_50M.log,100,2,2,True,True,False,3,3,62.2181,5.14796,62.2181,3,3,80.0249,9.10821,80.0249
1,2,DEFAULT,./results_1nodes/benchmark_1nodes_2tasks_DEFAULT.log,100,1,2,True,True,False,3,3,49.6334,4.75049,99.2668,3,3,50.1982,3.51208,100.396
1,4,100M,./results_1nodes/benchmark_1nodes_4tasks_100M.log,100,1,4,True,True,False,3,3,26.4044,0.848303,105.617,3,3,30.9896,2.90008,123.958
1,2,1M,./results_1nodes/benchmark_1nodes_2tasks_1M.log,100,1,2,True,True,False,3,3,53.0025,4.33759,106.005,3,3,51.6302,1.14961,103.26
1,32,DEFAULT,./results_1nodes/benchmark_1nodes_32tasks_DEFAULT.log,100,1,32,True,True,False,3,3,3.42269,0.0384473,109.526,3,3,3.76227,0.229595,120.393
1,32,100M,./results_1nodes/benchmark_1nodes_32tasks_100M.log,100,1,32,True,True,False,3,3,3.7501,0.213208,120.003,3,3,3.72449,0.135375,119.184
1,1,100M,./results_1nodes/benchmark_1nodes_1tasks_100M.log,100,1,1,True,True,False,3,3,76.9226,6.90357,76.9226,3,3,87.8157,1.07156,87.8157
1,2,100M,./results_1nodes/benchmark_1nodes_2tasks_100M.log,100,1,2,True,True,False,3,3,47.1602,2.27666,94.3204,3,3,61.1353,10.1552,122.271
1,1,DEFAULT,./results_1nodes/benchmark_1nodes_1tasks_DEFAULT.log,100,1,1,True,True,False,3,3,78.7866,5.11838,78.7866,3,3,88.1572,0.596892,88.1572
1,32,1M,./results_1nodes/benchmark_1nodes_32tasks_1M.log,100,1,32,True,True,False,3,3,5.19117,1.07144,166.117,3,3,3.66054,0.107895,117.137
1,8,100M,./results_1nodes/benchmark_1nodes_8tasks_100M.log,100,1,8,True,True,False,3,3,18.0078,3.40079,144.062,3,3,14.2663,0.203227,114.131
1,16,100M,./results_1nodes/benchmark_1nodes_16tasks_100M.log,100,1,16,True,True,False,3,3,7.52046,1.19088,120.327,3,3,8.51712,0.668772,136.274
1,16,DEFAULT,./results_1nodes/benchmark_1nodes_16tasks_DEFAULT.log,100,1,16,True,True,False,3,3,7.08745,0.342381,113.399,3,3,11.7691,6.18193,188.306
1,8,50M,./results_1nodes/benchmark_1nodes_8tasks_50M.log,100,2,16,True,True,False,3,3,15.1795,0.747384,121.436,3,3,23.1681,6.08364,185.345
1,4,DEFAULT,./results_1nodes/benchmark_1nodes_4tasks_DEFAULT.log,100,1,4,True,True,False,3,3,26.053,2.12896,104.212,3,3,44.3599,7.54634,177.44
1,4,1M,./results_1nodes/benchmark_1nodes_4tasks_1M.log,100,1,4,True,True,False,3,3,24.6257,1.39813,98.5028,3,3,38.831,0.591312,155.324
1,8,DEFAULT,./results_1nodes/benchmark_1nodes_8tasks_DEFAULT.log,100,1,8,True,True,False,3,3,14.2233,1.3736,113.787,3,3,19.6487,1.51278,157.19
1,1,1M,./results_1nodes/benchmark_1nodes_1tasks_1M.log,100,1,1,True,True,False,3,3,75.5089,10.7816,75.5089,3,3,79.1474,5.42952,79.1474
1,32,50M,./results_1nodes/benchmark_1nodes_32tasks_50M.log,100,2,64,True,True,False,3,3,3.36998,0.132068,107.839,3,3,3.75721,0.20572,120.231
1,16,1M,./results_1nodes/benchmark_1nodes_16tasks_1M.log,100,1,16,True,True,False,3,3,7.45321,0.418337,119.251,3,3,11.0591,4.99444,176.946
1,16,50M,./results_1nodes/benchmark_1nodes_16tasks_50M.log,100,2,32,True,True,False,3,3,6.93434,0.84847,110.95,3,3,6.41745,1.32445,102.679
1,4,50M,./results_1nodes/benchmark_1nodes_4tasks_50M.log,100,2,8,True,True,False,3,3,23.1095,0.50096,92.4379,3,3,28.4429,1.36192,113.772
1,8,1M,./results_1nodes/benchmark_1nodes_8tasks_1M.log,100,1,8,True,True,False,3,3,12.4754,1.7624,99.803,3,3,14.4733,0.540985,115.786
1,2,50M,./results_1nodes/benchmark_1nodes_2tasks_50M.log,100,2,4,True,True,False,3,3,39.9196,1.97062,79.8392,3,3,52.4713,1.11352,104.943
2,2,DEFAULT,./results_2nodes/benchmark_2nodes_2tasks_DEFAULT.log,100,1,4,True,True,False,3,3,18.9535,4.25665,75.814,3,3,37.6016,8.14791,150.406
2,8,1M,./results_2nodes/benchmark_2nodes_8tasks_1M.log,100,1,16,True,True,False,3,3,7.07084,0.435528,113.133,3,3,7.12656,0.315018,114.025
2,2,50M,./results_2nodes/benchmark_2nodes_2tasks_50M.log,100,2,8,True,True,False,3,3,22.5744,0.839116,90.2974,3,3,21.5139,1.57115,86.0556
2,16,1M,./results_2nodes/benchmark_2nodes_16tasks_1M.log,100,1,32,True,True,False,3,3,3.68373,0.0748235,117.879,3,3,3.60875,0.0878745,115.48
2,16,DEFAULT,./results_2nodes/benchmark_2nodes_16tasks_DEFAULT.log,100,1,32,True,True,False,3,3,3.65425,0.100718,116.936,3,3,4.38715,0.695826,140.389
2,16,100M,./results_2nodes/benchmark_2nodes_16tasks_100M.log,100,1,32,True,True,False,3,3,3.92785,0.102816,125.691,3,3,4.42079,0.672674,141.465
2,1,1M,./results_2nodes/benchmark_2nodes_1tasks_1M.log,100,1,2,True,True,False,3,3,31.0822,5.77467,62.1643,3,3,48.7027,3.74611,97.4055
2,32,50M,./results_2nodes/benchmark_2nodes_32tasks_50M.log,100,2,128,True,True,False,3,3,1.78224,0.0510495,114.063,3,3,1.91634,0.0676383,122.646
2,4,100M,./results_2nodes/benchmark_2nodes_4tasks_100M.log,100,1,8,True,True,False,3,3,14.1516,1.11863,113.213,3,3,14.6203,0.445435,116.962
2,2,100M,./results_2nodes/benchmark_2nodes_2tasks_100M.log,100,1,4,True,True,False,3,3,27.1591,2.64362,108.636,3,3,23.8579,3.6346,95.4314
2,4,DEFAULT,./results_2nodes/benchmark_2nodes_4tasks_DEFAULT.log,100,1,8,True,True,False,3,3,12.1578,0.172722,97.2622,3,3,12.8488,0.922226,102.79
2,32,1M,./results_2nodes/benchmark_2nodes_32tasks_1M.log,100,1,64,True,True,False,3,3,1.71542,0.0157992,109.787,3,3,1.83611,0.103768,117.511
2,32,DEFAULT,./results_2nodes/benchmark_2nodes_32tasks_DEFAULT.log,100,1,64,True,True,False,3,3,1.86729,0.111819,119.507,3,3,1.80318,0.0388809,115.403
2,1,50M,./results_2nodes/benchmark_2nodes_1tasks_50M.log,100,2,4,True,True,False,3,3,30.8924,0.780455,61.7849,3,3,59.0611,2.22661,118.122
2,1,100M,./results_2nodes/benchmark_2nodes_1tasks_100M.log,100,1,2,True,True,False,3,3,29.3564,2.4417,58.7127,3,3,56.2295,1.97029,112.459
2,4,1M,./results_2nodes/benchmark_2nodes_4tasks_1M.log,100,1,8,True,True,False,3,3,12.5062,0.694247,100.05,3,3,14.718,0.546572,117.744
2,2,1M,./results_2nodes/benchmark_2nodes_2tasks_1M.log,100,1,4,True,True,False,3,3,20.3347,1.61524,81.3387,3,3,48.72,1.91777,194.88
2,1,DEFAULT,./results_2nodes/benchmark_2nodes_1tasks_DEFAULT.log,100,1,2,True,True,False,3,3,35.7739,2.61065,71.5477,3,3,51.0591,1.39809,102.118
2,8,100M,./results_2nodes/benchmark_2nodes_8tasks_100M.log,100,1,16,True,True,False,3,3,7.14364,0.496164,114.298,3,3,12.1496,3.72636,194.394
2,8,50M,./results_2nodes/benchmark_2nodes_8tasks_50M.log,100,2,32,True,True,False,3,3,7.25554,0.395604,116.089,3,3,7.98466,0.30432,127.755
2,4,50M,./results_2nodes/benchmark_2nodes_4tasks_50M.log,100,2,16,True,True,False,3,3,13.6579,1.31702,109.263,3,3,14.3361,0.851189,114.689
2,32,100M,./results_2nodes/benchmark_2nodes_32tasks_100M.log,100,1,64,True,True,False,3,3,1.84335,0.0548118,117.975,3,3,1.83378,0.0586844,117.362
2,16,50M,./results_2nodes/benchmark_2nodes_16tasks_50M.log,100,2,64,True,True,False,3,3,3.61538,0.0203797,115.692,3,3,3.70516,0.145875,118.565
2,8,DEFAULT,./results_2nodes/benchmark_2nodes_8tasks_DEFAULT.log,100,1,16,True,True,False,3,3,7.13553,0.424718,114.168,3,3,17.0096,2.66814,272.153
4,8,DEFAULT,./results_4nodes/benchmark_4nodes_8tasks_DEFAULT.log,100,1,32,True,True,False,3,3,3.71811,0.0737989,118.98,3,3,3.96986,0.458495,127.036
4,16,DEFAULT,./results_4nodes/benchmark_4nodes_16tasks_DEFAULT.log,100,1,64,True,True,False,3,3,1.82556,0.103707,116.836,3,3,1.82395,0.0187656,116.733
4,32,DEFAULT,./results_4nodes/benchmark_4nodes_32tasks_DEFAULT.log,100,1,128,True,True,False,3,3,0.901167,0.0174472,115.349,3,3,0.9325,0.0224534,119.36
4,2,100M,./results_4nodes/benchmark_4nodes_2tasks_100M.log,100,1,8,True,True,False,3,3,12.9412,0.936628,103.53,3,3,12.3546,0.26044,98.8367
4,32,100M,./results_4nodes/benchmark_4nodes_32tasks_100M.log,100,1,128,True,True,False,3,3,0.889401,0.0082476,113.843,3,3,0.912265,0.0147081,116.77
4,1,DEFAULT,./results_4nodes/benchmark_4nodes_1tasks_DEFAULT.log,100,1,4,True,True,False,3,3,29.5479,5.21179,118.192,3,3,25.0469,0.817972,100.188
4,8,100M,./results_4nodes/benchmark_4nodes_8tasks_100M.log,100,1,32,True,True,False,3,3,3.71484,0.208176,118.875,3,3,6.34978,3.35059,203.193
4,32,50M,./results_4nodes/benchmark_4nodes_32tasks_50M.log,100,2,256,True,True,False,3,3,0.903894,0.0182867,115.698,3,3,0.897415,0.0162712,114.869
4,16,1M,./results_4nodes/benchmark_4nodes_16tasks_1M.log,100,1,64,True,True,False,3,3,1.74209,0.0129061,111.494,3,3,1.82661,0.0718387,116.903
4,1,100M,./results_4nodes/benchmark_4nodes_1tasks_100M.log,100,1,4,True,True,False,3,3,24.4491,0.633782,97.7963,3,3,28.1239,0.512835,112.496
4,1,1M,./results_4nodes/benchmark_4nodes_1tasks_1M.log,100,1,4,True,True,False,3,3,16.6915,3.51023,66.766,3,3,22.8891,1.93424,91.5564
4,4,DEFAULT,./results_4nodes/benchmark_4nodes_4tasks_DEFAULT.log,100,1,16,True,True,False,3,3,6.85909,0.639598,109.745,3,3,8.37458,0.891377,133.993
4,8,50M,./results_4nodes/benchmark_4nodes_8tasks_50M.log,100,2,64,True,True,False,3,3,3.63297,0.113647,116.255,3,3,7.14838,3.03793,228.748
4,8,1M,./results_4nodes/benchmark_4nodes_8tasks_1M.log,100,1,32,True,True,False,3,3,3.62938,0.183849,116.14,3,3,3.70122,0.139493,118.439
4,4,100M,./results_4nodes/benchmark_4nodes_4tasks_100M.log,100,1,16,True,True,False,3,3,7.11936,0.755878,113.91,3,3,9.92003,2.71376,158.72
4,16,50M,./results_4nodes/benchmark_4nodes_16tasks_50M.log,100,2,128,True,True,False,3,3,1.89615,0.0428262,121.353,3,3,1.88376,0.0837652,120.561
4,2,DEFAULT,./results_4nodes/benchmark_4nodes_2tasks_DEFAULT.log,100,1,8,True,True,False,3,3,12.2136,1.29317,97.7084,3,3,23.6617,1.86428,189.293
4,2,50M,./results_4nodes/benchmark_4nodes_2tasks_50M.log,100,2,16,True,True,False,3,3,12.1616,0.622691,97.2926,3,3,15.8984,2.25778,127.187
4,4,50M,./results_4nodes/benchmark_4nodes_4tasks_50M.log,100,2,32,True,True,False,3,3,6.35886,0.0543578,101.742,3,3,7.32424,0.313406,117.188
4,4,1M,./results_4nodes/benchmark_4nodes_4tasks_1M.log,100,1,16,True,True,False,3,3,6.74364,0.131711,107.898,3,3,7.20191,0.542011,115.231
4,16,100M,./results_4nodes/benchmark_4nodes_16tasks_100M.log,100,1,64,True,True,False,3,3,1.8401,0.0548641,117.766,3,3,1.79474,0.0100093,114.863
4,2,1M,./results_4nodes/benchmark_4nodes_2tasks_1M.log,100,1,8,True,True,False,3,3,19.4147,2.915,155.317,3,3,13.0781,0.359872,104.625
4,32,1M,./results_4nodes/benchmark_4nodes_32tasks_1M.log,100,1,128,True,True,False,3,3,0.949452,0.0253636,121.53,3,3,0.981192,0.0893606,125.593
4,1,50M,./results_4nodes/benchmark_4nodes_1tasks_50M.log,100,2,8,True,True,False,3,3,20.5368,1.96085,82.1473,3,3,40.3893,1.9022,161.557
8,4,1M,./results_8nodes/benchmark_8nodes_4tasks_1M.log,100,1,32,True,True,False,3,3,3.49349,0.0329411,111.792,3,3,3.99442,0.693999,127.822
8,32,100M,./results_8nodes/benchmark_8nodes_32tasks_100M.log,100,1,256,True,True,False,3,3,0.444928,0.00475761,113.902,3,3,0.443736,0.00752448,113.597
8,16,1M,./results_8nodes/benchmark_8nodes_16tasks_1M.log,100,1,128,True,True,False,3,3,0.885284,0.0133333,113.316,3,3,0.917917,0.0307805,117.493
8,8,100M,./results_8nodes/benchmark_8nodes_8tasks_100M.log,100,1,64,True,True,False,3,3,1.85297,0.134762,118.59,3,3,1.59095,0.262383,101.821
8,2,50M,./results_8nodes/benchmark_8nodes_2tasks_50M.log,100,2,32,True,True,False,3,3,6.91406,0.225516,110.625,3,3,8.30504,0.79174,132.881
8,32,1M,./results_8nodes/benchmark_8nodes_32tasks_1M.log,100,1,256,True,True,False,3,3,0.452263,0.0189208,115.779,3,3,0.449493,0.0130441,115.07
8,1,50M,./results_8nodes/benchmark_8nodes_1tasks_50M.log,100,2,16,True,True,False,3,3,13.549,1.66386,108.392,3,3,18.3408,2.95826,146.726
8,16,50M,./results_8nodes/benchmark_8nodes_16tasks_50M.log,100,2,256,True,True,False,3,3,0.923818,0.0280394,118.249,3,3,0.897537,0.0164653,114.885
8,32,50M,./results_8nodes/benchmark_8nodes_32tasks_50M.log,100,2,512,True,True,False,3,3,0.445483,0.00183899,114.044,3,3,0.451197,0.00503175,115.506
8,8,50M,./results_8nodes/benchmark_8nodes_8tasks_50M.log,100,2,128,True,True,False,3,3,1.77806,0.0152253,113.796,3,3,1.81444,0.0704036,116.124
8,8,DEFAULT,./results_8nodes/benchmark_8nodes_8tasks_DEFAULT.log,100,1,64,True,True,False,3,3,1.87179,0.0872774,119.795,3,3,1.90415,0.0941205,121.865
8,16,100M,./results_8nodes/benchmark_8nodes_16tasks_100M.log,100,1,128,True,True,False,3,3,0.923708,0.0418507,118.235,3,3,0.908213,0.0331209,116.251
8,8,1M,./results_8nodes/benchmark_8nodes_8tasks_1M.log,100,1,64,True,True,False,3,3,1.77065,0.0275404,113.322,3,3,1.88021,0.111555,120.334
8,4,100M,./results_8nodes/benchmark_8nodes_4tasks_100M.log,100,1,32,True,True,False,3,3,3.48704,0.0653095,111.585,3,3,4.00467,0.263599,128.149
8,2,1M,./results_8nodes/benchmark_8nodes_2tasks_1M.log,100,1,16,True,True,False,3,3,6.76982,0.425831,108.317,3,3,12.0206,5.87529,192.329
8,4,DEFAULT,./results_8nodes/benchmark_8nodes_4tasks_DEFAULT.log,100,1,32,True,True,False,3,3,3.64226,0.107749,116.552,3,3,3.98,0.108458,127.36
8,2,DEFAULT,./results_8nodes/benchmark_8nodes_2tasks_DEFAULT.log,100,1,16,True,True,False,3,3,8.08886,1.49251,129.422,3,3,10.138,2.76213,162.208
8,32,DEFAULT,./results_8nodes/benchmark_8nodes_32tasks_DEFAULT.log,100,1,256,True,True,False,3,3,0.454297,0.00683054,116.3,3,3,0.490435,0.04707,125.551
8,2,100M,./results_8nodes/benchmark_8nodes_2tasks_100M.log,100,1,16,True,True,False,3,3,6.94407,0.518805,111.105,3,3,10.2948,1.08034,164.716
8,4,50M,./results_8nodes/benchmark_8nodes_4tasks_50M.log,100,2,64,True,True,False,3,3,3.76348,0.214989,120.431,3,3,4.43787,1.2695,142.012
8,1,100M,./results_8nodes/benchmark_8nodes_1tasks_100M.log,100,1,8,True,True,False,3,3,11.8611,0.338383,94.8888,3,3,17.5679,3.52696,140.543
8,1,DEFAULT,./results_8nodes/benchmark_8nodes_1tasks_DEFAULT.log,100,1,8,True,True,False,3,3,13.6692,2.0526,109.353,3,3,14.4913,1.17231,115.931
8,1,1M,./results_8nodes/benchmark_8nodes_1tasks_1M.log,100,1,8,True,True,False,3,3,12.6814,0.338974,101.451,3,3,18.7209,1.74134,149.767
8,16,DEFAULT,./results_8nodes/benchmark_8nodes_16tasks_DEFAULT.log,100,1,128,True,True,False,3,3,0.875922,0.00613944,112.118,3,3,0.942265,0.0377217,120.61
